LINE,YPP,PN,GNPP,SSR,GWe,FLL,HD,PH,PL,GL,GWi,FLW
Z1,62.34,11,257.1,0.89,27.22,37.77,84,124,26.82,8.42,2.83,2.2
Z2,35.47,12,165.7,0.77,25.67,30.33,121,98.3,20.76,8.34,2.88,2.1
Z3,59.87,18,183.8,0.77,25.42,39.67,93,128.3,28.76,9.5,2.49,2
Z4,53.65,18,182.8,0.74,24.62,34.67,93,127.7,27.32,9.5,2.37,1.97
Z5,48.96,14,172.4,0.81,28.32,37,78,113.7,24,9.6,2.61,2.07
Z6,47.29,14,172.2,0.75,27.52,51.67,85,118.7,26.88,10.06,2.48,2.1
Z7,54.64,17,128.2,0.95,27.38,37,114,105.7,24.12,8.17,2.92,2.13
Z8,32.99,10,152.3,0.75,31.15,32,59,105,24.82,9.94,2.69,1.87
Z9,53.18,16,171.4,0.84,24.38,40,116,111.3,24.54,8.45,2.8,2.03
Z10,49.33,15,179.5,0.68,29.02,39.17,75,111,25.2,9.54,2.55,2.13
Z11,54.27,13,213.9,0.77,28.5,38.33,91,121.3,23.38,9.6,2.47,1.77
Z12,40.85,15,196.8,0.6,24.77,51.5,83,122.7,25.7,9.34,2.42,1.77
Z13,21.97,13,172.7,0.47,24.53,41.67,126,98.7,20.82,8.32,2.83,2.07
Z14,36.04,14,156.9,0.76,22.85,29,126,94.7,21.7,8.53,2.71,1.97
Z15,76.88,17,230.6,0.74,28.13,44.83,78,122,26.82,8.61,3.01,2.2
Z16,55.08,13,231.7,0.74,26.82,31.33,127,94.3,22.46,8.35,3.02,2.07
Z17,46.39,12,184.6,0.87,25.52,40.5,77,131,26.54,8.61,2.69,2.23
Z18,54.76,16,191,0.7,27.28,41.17,89,121,24.54,8.12,3.07,1.97
Z19,40.37,14,157.7,0.78,24.7,30.67,127,101,21.66,8.79,2.86,2.13
Z20,65.44,16,191,0.8,27.47,46.67,83,128.7,31.8,10.32,2.51,1.83
Z21,84.21,17,219.9,0.8,30.25,44,83,132.7,26.1,8.31,3.16,2.13
Z22,62.66,15,175,0.93,28.03,39,79,123.7,24.24,8.92,2.94,2.17
Z23,45.65,14,180.5,0.71,27.02,41.33,81,119.3,25.8,8.65,2.82,2.13
Z24,54.87,18,195.9,0.68,25.72,41.83,79,113.7,24.74,8.56,2.72,2.1
Z25,47.74,12,199.2,0.72,30.25,41.83,85,121,25.82,8.57,3.13,1.93
Z26,38.81,10,177.6,0.81,27.58,32.33,125,110.7,22.74,8.11,3.17,2.1
Z27,55.59,14,164.4,0.9,28.18,40.33,115,113,24.9,8.13,3.17,2.17
Z28,71.84,19,213.1,0.74,25.28,41.5,82,117,26.68,8.69,2.75,1.77
Z29,56.82,20,183.1,0.73,23.15,36.17,80,119,24.12,8.53,2.61,1.87
Z30,54.15,15,163.2,0.86,27.6,40.67,90,122,27.06,8.74,2.83,1.97
Z31,39.15,14,236.5,0.5,24.43,32.5,80,114.3,25.86,8.51,2.75,1.8
Z32,54.97,14,219.1,0.9,21.37,34.83,78,109,26.1,8.82,2.36,1.93
Z33,48.93,14,270.2,0.61,23.57,40,77,116,24.08,9.09,2.5,1.87
Z34,65.63,17,223.9,0.77,24.17,35.5,86,117,27.86,8.31,2.77,1.97
