LINE,YPP,PN,GNPP,SSR,GWe,HD,PH,PL,GL,GWi
Z1,36.92,11,176.18,0.81,26.9,97,112,23.1,8.092,2.858
Z2,39.21,11,183.91,0.79,25.03,79,74.3,22.4,7.801,2.623
Z3,49.18,13,170.62,0.87,26.95,87,91,21.88,8.911,2.469
Z4,41.84,13,186.62,0.76,25.88,97,112,23.52,9.266,2.464
Z5,51.19,15,150.13,0.86,28.03,81,77.7,20.08,8.882,2.49
Z6,51.3,18,137.06,0.81,26.98,81,87.3,20.72,9.108,2.423
Z7,71.87,17,168.71,0.92,27.75,88,96,24.92,7.825,2.842
Z8,58,15,137.4,0.98,30.15,79,94,20.3,8.438,2.772
Z9,58.36,18,127.61,0.95,27.2,88,91.7,20.8,7.665,2.805
Z10,42.65,15,120.73,0.81,30.73,78,82,19.84,9.283,2.612
Z11,49.57,14,135.5,0.94,29.47,97,105.3,20.98,8.963,2.589
Z12,43,13,189.08,0.73,26.2,96,106.7,20.62,8.9,2.387
Z13,44.67,11,200.55,0.84,24.82,88,97.3,20.12,7.758,2.654
Z14,57.13,15,169.8,0.95,24.28,81,83,22.16,8.062,2.448
Z15,56.35,14,155.64,0.88,31.38,97,111,22.52,8.391,2.934
Z16,60.43,13,190.92,0.95,25.98,88,90,20.3,7.963,2.747
Z17,41.7,13,133.85,0.95,25.63,84,94.7,20.88,7.878,2.637
Z18,47.19,14,175.79,0.72,29,99,112,25.72,7.641,3.031
Z19,39.67,14,145,0.83,24.55,81,81.3,20.82,8.224,2.526
Z20,68.68,16,158.38,0.92,29.68,93,108,24.62,9.998,2.51
Z21,76.38,20,186.45,0.71,31.17,89,121,24.74,7.881,3.145
Z22,32.27,14,217,0.44,25.32,93,106,24.74,8.094,2.733
Z23,45.41,13,182.31,0.72,28.33,96,108.7,22.94,8.206,2.76
Z24,44.71,18,135.39,0.77,27.43,97,109,22.38,8.303,2.725
Z25,57.81,17,151.12,0.83,28.48,93,99.7,21.44,7.808,2.965
Z26,88.65,28,147.64,0.86,26.88,85,93.7,20.98,7.735,2.913
Z27,48.4,17,124.59,0.85,27.33,89,94.3,21.63,7.832,2.802
Z28,61.4,21,131.19,0.92,25.27,92,92.7,20.02,8.163,2.664
Z29,54.4,18,154.33,0.87,23.23,97,114.7,20.46,8.103,2.56
Z30,58.93,15,158.07,0.94,26.67,90,96.7,22.98,7.967,2.762
Z31,28.96,14,184.14,0.48,24.6,97,100.7,23.12,8.173,2.709
Z32,29.49,11,143.18,0.94,21.93,94,98,17.42,8.135,2.254
Z33,51.73,23,131.48,0.76,26.82,95,98,20.26,8.891,2.486
Z34,94.53,31,138.23,0.89,27.03,91,94.3,20.06,8.06,2.703
Z35,57.52,14,174.57,0.94,26.37,90,94,21.12,8.18,2.657
Z36,64.33,15,213.93,0.89,24.42,94,99.3,20.9,8.341,2.278
Z37,44.15,13,204.38,0.82,23.02,95,101.3,19.88,8.351,2.252
Z38,39.56,14,185.86,0.78,21.1,95,100,19.08,8.119,2.19
Z39,67.59,18,269.11,0.7,22.03,95,107,24.1,7.813,2.349
Z40,104.64,37,178.05,0.72,23,81,83,22.88,8.947,2.088
Z41,35.96,18,146.33,0.61,24.73,98,107.3,19.04,8.549,2.381
Z42,65.36,24,166.63,0.87,20.27,81,83.3,23.38,7.683,2.324
Z43,65.85,17,191,0.81,27.83,99,123,27,8.229,2.765
Z44,46.87,19,150.58,0.74,24.12,97,104.7,23.2,8.175,2.445
Z45,43.73,13,140,0.85,30.02,95,96.3,22.06,9.272,2.562
Z46,45.09,13,144.08,0.85,29.48,90,85,21.24,9.406,2.546
Z47,54.14,12,227.17,0.87,24.17,92,93.3,19.56,8.112,2.422
Z48,56.07,15,234.07,0.73,23.42,94,93.7,18.86,7.556,2.601
Z49,38.99,13,207.77,0.81,19.17,94,97.7,20.98,7.535,2.263
Z50,48.82,13,202,0.78,25.63,95,100.3,21.56,8.894,2.484
Z51,22.88,9,126.89,0.9,24.6,81,80.7,20.84,8.863,2.261
Z52,54.03,15,148.73,0.92,26.97,89,87,23.06,8.064,2.753
Z53,41.3,12,144.42,0.9,27.1,86,85,22.22,9.425,2.445
Z54,46.67,15,128.07,0.93,27.1,91,95.7,19.7,9.194,2.409
Z55,43.35,14,141.07,0.83,26.67,89,87.7,21.04,8.032,2.728
Z56,34.66,14,119.86,0.82,27.15,95,97.7,22.92,9.104,2.471
Z57,119.64,36,180.47,0.7,28.02,91,96,20.28,8.687,2.593
Z58,71.67,25,156.28,0.66,28.67,97,103.3,23.14,9.278,2.595
Z59,43.75,15,148.8,0.88,23.17,90,89.7,22.98,8.631,2.398
Z60,38.9,13,117.38,0.96,27.58,90,87.3,19.02,8.721,2.495
Z61,45.3,16,144.06,0.65,30.47,89,91.3,22.16,9.052,2.552
Z62,49.49,14,149.14,0.92,27.1,90,92,20.5,8.586,2.481
Z63,46.37,17,131.94,0.75,28.67,93,84,21.72,8.969,2.509
Z64,60.86,17,144.35,0.91,28.5,89,87,18.3,8.981,2.569
Z65,46.21,15,128.2,0.96,26.27,91,95,19.68,8.275,2.673
Z66,52.32,17,119.29,0.92,29.25,89,84.7,21,9.221,2.583
Z67,39.59,11,127.36,0.91,33.03,93,99.7,22.26,9.72,2.641
Z68,50.79,19,126.26,0.93,23.67,81,79,19.34,7.95,2.558
Z69,66.9,20,154.3,0.9,25.4,85,87.3,21.24,7.789,2.711
Z70,42.96,16,116.94,0.81,28.62,83,80,20.9,8.917,2.525
Z71,39.5,12,125.08,0.91,30.08,76,85.3,18.24,9.305,2.61
Z72,73.84,23,171,0.85,23,80,83.3,22.72,7.267,2.734
Z73,48.21,14,149.07,0.91,26.62,82,92,23.76,8.06,2.694
Z74,40.36,13,136.38,0.96,24.47,88,86.3,23,7.631,2.578
Z75,32.77,14,181.14,0.58,22.6,85,87,19.42,7.571,2.501
Z76,42.96,15,170.67,0.76,23.4,94,94,21.9,7.978,2.475
Z77,38.82,12,146.33,0.91,25.73,91,99.3,21,7.977,2.713
Z78,41.83,11,155.55,0.81,31.9,96,106.3,23.1,8.118,3.143
Z79,43.02,11,168.64,0.96,24.87,88,92,17.64,7.875,2.645
Z80,37.8,8,200.25,0.91,27.57,90,90.7,19.26,8.906,2.512
Z81,43.42,13,183.85,0.8,23.97,92,95,21.58,8.341,2.346
Z82,33.14,9,161.78,0.9,25.75,90,87.7,22.14,8.034,2.594
Z83,36.67,10,179.5,0.86,25.67,97,102.3,21.74,8.084,2.639
Z84,36.01,12,185.25,0.7,25.13,81,84,21.92,8.761,2.257
Z85,42.56,12,168.92,0.88,25.6,97,93.7,21.12,8.747,2.413
Z86,29.41,12,171.08,0.58,25.37,92,91.3,19.14,7.83,2.61
Z87,24.91,10,129.9,0.81,25.45,93,103.7,21.36,9.058,2.282
Z88,35.74,12,151,0.8,25.47,89,86.7,18.52,9.021,2.462
Z89,38.05,8,172.63,0.96,29.62,90,87,18.12,8.905,2.67
Z90,42.24,10,169.4,0.9,29.35,85,89,24.02,8.809,2.763
Z91,36.81,9,216.78,0.78,25.97,98,103.3,25.58,8.82,2.488
Z92,34.83,13,158.15,0.79,22.63,94,98.3,22.28,8.063,2.235
Z93,36.89,10,180.6,0.91,23.82,94,95,22.7,8.489,2.339
Z94,45.34,20,131.4,0.84,21.65,82,82.7,22.72,8.713,2.181
Z95,31.25,18,142.5,0.48,26.28,90,86.3,20.32,8.562,2.463
Z96,40.33,11,142.64,0.92,28.58,88,92,21.74,9.007,2.599
Z97,48.4,12,208.92,0.85,23.75,93,90,20.92,8.38,2.378
Z98,56.85,12,175.08,0.96,29.3,88,94.3,20.06,8.883,2.659
Z99,39.66,12,122.75,0.95,29.77,88,92.7,17.48,9.448,2.546
Z100,43.63,15,146.27,0.9,22.48,83,94.3,21.46,8.373,2.445
Z101,27.63,10,180.7,0.61,25.38,98,99,20.8,7.982,2.649
Z102,38.83,15,152.93,0.72,24.33,88,94,23,9.039,2.337
Z103,39.88,13,108.46,0.93,31.92,90,102,20.9,9.054,2.767
Z104,29.98,9,148.56,0.91,25.72,82,89,22.42,8.302,2.587
Z105,36.01,13,120.08,0.94,26.17,82,91.7,20.4,8.104,2.621
Z106,35.74,12,122.67,0.96,25.77,83,92.3,22.9,8.202,2.612
Z107,41.66,15,122.27,0.93,25.6,78,82,19.94,8.019,2.653
Z108,40.08,11,170.91,0.9,25,88,83,22.08,8.276,2.554
Z109,50.66,12,148.75,0.95,31.7,99,112.3,25.88,8.54,3.032
Z110,30.56,9,133.67,0.86,29.77,88,102.3,20.16,9.512,2.512
Z111,43.33,13,159.46,0.96,22.15,90,94.7,19.8,7.986,2.452
Z112,42.37,10,199.5,0.9,24.48,88,87,20.24,7.949,2.614
Z113,36.61,13,145.46,0.76,26.97,80,85,18.78,7.757,2.849
Z114,73.22,15,223.4,0.89,25.85,88,93,23.14,8.609,2.5
Z115,30.84,13,108.85,0.82,26.97,80,78,22.08,9.317,2.405
Z116,28.01,11,108.64,0.97,24.42,90,92.3,19.74,7.794,2.636
Z117,43.78,12,161.92,0.93,24.77,82,86,22.68,8.015,2.597
Z118,47.18,18,117.06,0.94,24.47,90,89,21.58,8.552,2.322
Z119,46.81,10,194.4,0.84,30.57,96,107,24.46,8.141,2.85
Z120,24.55,13,106.69,0.87,21.33,94,92.3,22.2,8.441,2.343
Z121,49.6,20,138,0.87,21.42,91,89.7,20.82,7.997,2.368
Z122,42.37,12,170.92,0.91,23.33,84,81,21.88,7.521,2.708
Z123,54.85,13,155.54,0.85,34,101,110,25.06,9.068,3.067
Z124,46.4,16,166,0.71,25.47,83,81,22.3,8.847,2.422
Z125,46.24,14,149.5,0.79,29.4,98,106.7,22.3,7.791,3.099
Z126,45.67,14,141.36,0.89,27.48,98,103,21.78,8.45,2.762
Z127,37.56,9,150.22,0.85,34.33,101,111.3,24.88,8.943,2.989
Z128,68.29,15,227.33,0.83,24.98,89,97.3,23.72,8.058,2.594
Z129,55.91,16,169.06,0.89,25.08,97,103.3,20.3,7.947,2.629
Z130,38,14,146.71,0.87,23.28,97,100.3,21.18,8.015,2.536
Z131,54.83,21,149.24,0.82,22.52,77,78.7,21.44,7.666,2.491
Z132,54,15,180.53,0.84,24.33,97,100.7,20.78,8.035,2.577
Z133,50.08,12,161.92,0.95,28.03,97,112.3,24.4,8.276,2.929
Z134,56.6,15,161.73,0.84,29.4,92,101.7,21.72,8.301,2.917
Z135,34.35,14,104.86,0.83,28.75,86,91.7,21.16,8.439,2.769
Z136,43.82,13,131.23,0.84,32.03,98,115.7,23.92,8.614,2.952
Z137,62.27,17,152.29,0.81,31.75,97,119.7,25.36,8.441,2.965
Z138,40.88,10,154.4,0.86,33.55,101,125.3,26.28,8.773,3.138
Z139,53.47,17,155.65,0.74,29.93,97,110.7,22.48,8.534,2.788
Z140,75.24,19,176,0.83,30.03,100,120.3,26.28,8.567,2.814
Z141,45.78,21,94.62,0.86,29.4,85,84.3,23.54,8.385,2.822
Z142,58.67,17,131.35,0.89,31.58,99,116.3,24.76,8.632,2.879
Z143,30.97,12,101.42,0.91,30.47,94,102,22.46,9.308,2.643
Z144,37.51,11,134.18,0.8,34.28,100,121,26.06,8.873,3.041
Z145,46.33,13,134.08,0.91,30.33,98,115.3,23.8,8.542,2.856
Z146,47.34,18,140.94,0.8,25.98,80,85.7,22.98,9.126,2.399
Z147,49.75,13,165.85,0.88,27.72,96,114,24.9,8.207,2.767
Z148,47.21,13,153.77,0.91,27.55,96,111.7,25.24,8.268,2.831
Z149,57.68,17,155.47,0.78,30.47,99,110.7,25.18,9.392,2.677
Z150,45.15,17,173.06,0.6,26.58,88,86.3,20.54,7.846,2.71
Z151,35.35,15,140.8,0.66,27.03,79,79.7,21.06,8.223,2.64
Z152,57.88,12,187,0.85,33.3,92,106.7,25.4,9.559,2.677
Z153,40.39,10,163.4,0.85,32.15,102,118.3,23.76,8.481,2.951
Z154,33.71,10,146.7,0.8,30.6,101,111,26.22,8.703,2.803
Z155,41.17,11,133.18,0.88,33.7,90,105,22.68,9.449,2.79
Z156,65.76,14,177.21,0.87,32.98,91,101.7,24.2,9.005,2.852
Z157,29.14,11,118.91,0.76,32.32,101,119.3,26.22,8.765,2.906
Z158,43.61,12,142.33,0.86,31.35,93,110.7,22.54,9.257,2.668
Z159,44.6,17,117.18,0.8,29.75,96,108.3,23.52,9.654,2.494
Z160,40.53,11,172.27,0.8,28.6,102,114.7,26.46,8.352,2.836
Z161,46.52,13,138,0.93,29.62,89,100,22.2,8.353,2.781
Z162,41.73,16,116.94,0.75,32.22,93,103.3,23.44,9.971,2.548
Z163,44.34,14,142.36,0.76,30.92,93,104.7,25.46,9.282,2.642
