YPP,PN,GNPP,SSR,GWe,HD,PH,FLL,FLW,PL,GL,GWi
sample_3,sample_10,sample_3,sample_25,sample_11,sample_0,sample_32,sample_58,sample_3,sample_32,sample_11,sample_3
sample_25,sample_20,sample_23,sample_31,sample_25,sample_1,sample_60,sample_60,sample_66,sample_52,sample_62,sample_5
sample_26,sample_33,sample_127,sample_36,sample_55,sample_2,sample_62,sample_62,sample_89,sample_62,sample_63,sample_14
sample_52,sample_75,sample_128,sample_53,sample_59,sample_5,sample_63,sample_63,sample_121,sample_63,sample_100,sample_22
sample_53,sample_102,sample_185,sample_61,sample_62,sample_13,sample_66,sample_67,sample_128,sample_101,sample_118,sample_28
sample_59,sample_135,sample_187,sample_113,sample_100,sample_196,sample_127,sample_70,sample_162,sample_122,sample_154,sample_38
sample_122,sample_144,sample_191,sample_192,sample_166,sample_215,sample_154,sample_101,sample_163,sample_154,sample_159,sample_39
sample_142,sample_188,sample_197,sample_196,sample_174,sample_216,sample_161,sample_182,sample_165,sample_156,sample_161,sample_59
sample_187,sample_203,sample_215,sample_200,sample_255,sample_218,sample_165,sample_187,sample_197,sample_161,sample_167,sample_60
sample_238,sample_204,sample_243,sample_238,sample_257,sample_223,sample_173,sample_233,sample_199,sample_166,sample_174,sample_65
sample_289,sample_226,sample_246,,sample_259,sample_230,sample_174,,sample_206,sample_174,sample_178,sample_66
,,sample_248,,sample_264,sample_232,sample_176,,sample_245,sample_176,sample_182,sample_72
,,,,,sample_234,sample_197,,sample_248,sample_182,sample_197,sample_74
,,,,,sample_251,sample_199,,sample_259,sample_189,sample_257,sample_92
,,,,,sample_266,sample_260,,sample_272,sample_198,sample_258,sample_125
,,,,,sample_279,sample_263,,,sample_250,sample_261,sample_142
,,,,,,,,,sample_259,sample_264,sample_147
,,,,,,,,,sample_278,sample_265,sample_148
,,,,,,,,,,sample_293,sample_149
,,,,,,,,,,,sample_152
,,,,,,,,,,,sample_153
,,,,,,,,,,,sample_171
,,,,,,,,,,,sample_179
,,,,,,,,,,,sample_200
,,,,,,,,,,,sample_221
,,,,,,,,,,,sample_238
,,,,,,,,,,,sample_244
