Phenotype,r2,mae,rmse,pcc
YPP,0.22468948364257812,7.315168380737305,10.327248573303223,0.4862618
PN,0.2964630722999573,2.0385377407073975,3.0077457427978516,0.5605353
GNPP,0.4542624354362488,14.675954818725586,19.80786895751953,0.6905886
SSR,0.37755709886550903,0.04391440749168396,0.06314484030008316,0.65224075
GWe,0.7560357451438904,1.145296335220337,1.5238499641418457,0.88540304
HD,0.7849641442298889,2.595065116882324,3.5130996704101562,0.8936599
PH,0.7329299449920654,4.221312046051025,5.389589309692383,0.85974014
PL,0.575206458568573,0.8958371877670288,1.201156735420227,0.7725176
GL,0.8219413161277771,0.20820893347263336,0.28165751695632935,0.9187676
GWi,0.7797423005104065,0.06822262704372406,0.09053712338209152,0.9037319
